country,country_code,year,recycling_rate_percent
France,FRA,1993,6.942
France,FRA,1995,8.781
France,FRA,1996,9.164
France,FRA,1997,10.271
France,FRA,1998,11.57
France,FRA,1999,12.485
France,FRA,2000,12.951
France,FRA,2001,13.697
France,FRA,2002,14.426
France,FRA,2003,15.048
France,FRA,2004,15.319
France,FRA,2005,16.079
France,FRA,2006,16.655
France,FRA,2007,17.223
France,FRA,2008,17.203
France,FRA,2009,17.401
France,FRA,2010,17.788
France,FRA,2011,20.617
France,FRA,2012,21.104
France,FRA,2013,21.532
France,FRA,2014,22.063
France,FRA,2015,22.255
Germany,DEU,1993,23.334
Germany,DEU,1995,26.299
Germany,DEU,1996,28.629
Germany,DEU,1997,30.451
Germany,DEU,1998,31.15
Germany,DEU,1999,37.993
Germany,DEU,2000,38.144
Germany,DEU,2001,37.699
Germany,DEU,2002,41.718
Germany,DEU,2003,43.176
Germany,DEU,2004,40.441
Germany,DEU,2005,44.537
Germany,DEU,2006,45.653
Germany,DEU,2007,47.1
Germany,DEU,2008,47.04
Germany,DEU,2009,45.814
Germany,DEU,2010,45.65
Germany,DEU,2011,46.052
Germany,DEU,2012,47.421
Germany,DEU,2013,46.584
Germany,DEU,2014,47.556
Germany,DEU,2015,47.827
Italy,ITA,1995,3.495
Italy,ITA,1996,4.897
Italy,ITA,1997,7.349
Italy,ITA,1998,8.705
Italy,ITA,1999,9.505
Italy,ITA,2000,10.213
Italy,ITA,2001,12.697
Italy,ITA,2002,10.553
Italy,ITA,2003,11.974
Italy,ITA,2004,13.179
Italy,ITA,2005,13.737
Italy,ITA,2006,13.702
Italy,ITA,2007,19.04
Italy,ITA,2008,16.435
Italy,ITA,2009,20.248
Italy,ITA,2010,20.02
Italy,ITA,2011,23.887
Italy,ITA,2012,24.95
Italy,ITA,2013,25.703
Italy,ITA,2014,27.816
Italy,ITA,2015,29.136
Spain,ESP,2008,15.398
Spain,ESP,2009,15.178
Spain,ESP,2010,17.56
Spain,ESP,2011,16.683
Spain,ESP,2012,19.534
Spain,ESP,2013,15.504
Spain,ESP,2014,16.92
Spain,ESP,2015,16.835
